NAME.x,SRTS
Monument Academy PCS,0
Mundo Verde Bilingual PCS - Calle Ocho,1
Mundo Verde Bilingual PCS - J.F. Cook,0
Paul PCS,0
Perry Street Preparatory PCS and The Sojourner Truth School PCS,0
Richard Wright PCS for Journalism and Media Arts,0
Rocketship PCS - Legacy Prep,0
Rocketship PCS - Rise Academy,0
Roots PCS,0
Sela PCS,1
Shining Stars Montessori Academy PCS,0
Social Justice PCS and Rocketship PCS - Rise Academy,0
St. Coletta Special Education PCS,0
Statesmen College Preparatory Academy for Boys PCS,0
The Children's Guild DC PCS,0
The Family Place PCS,0
The Next Step/El Proximo Paso PCS,0
The SEED PCS of Washington DC,0
Thurgood Marshall Academy PCS,0
Two Rivers PCS - 4th Street,0
Two Rivers PCS - Young Elementary School,0
Two Rivers PCS - Young Middle School,0
Washington Global PCS,0
Washington Latin PCS - The Anna Julia Cooper Middle School,0
Washington Latin PCS,0
Washington Leadership Academy PCS,0
Washington Yu Ying PCS,0
YouthBuild PCS,0
